name,price,max_guest,star_rating,review_num,image_path,user_id,room_type_id
Clean안녕 & quiet apt home by the park,30000,2,3,12,null,2,1
Skylit Midtown Castle,40000,4,4,432,null,3,2
THE VILLAGE OF HARLEM....NEW YORK !,50000,5,5,235,null,2,3
Cozy Entire Floor of Brownstone,60000,6,1,45,null,3,1
Entire Apt: Spacious Studio/Loft by central park,45000,3,2,12,null,2,2
Large Cozy 1 BR Apartment In Midtown East,30000,2,2,432,null,3,3
BlissArtsSpace!,40000,1,3,235,null,2,4
Large Furnished Room Near B'way ,30000,2,4,45,null,3,1
Cozy Clean Guest Room - Family Apt,40000,3,5,12,null,2,2
Cute & Cozy Lower East Side 1 bdrm,30000,4,1,432,null,3,3
Beautiful 1br on Upper West Side,40000,5,2,235,null,2,1
Central Manhattan/near Broadway,30000,6,2,45,null,3,2
"Lovely Room 1, Garden, Best Area, Legal rental",40000,7,3,12,null,2,3
Wonderful Guest Bedroom in Manhattan for SINGLES,50000,2,4,432,null,3,4
West Village Nest - Superhost,60000,3,5,235,null,2,3
Only 2 stops to Manhattan studio,45000,4,1,45,null,3,4