bed,bedroom,bathroom,free_parking,wifi,kitchen,washer,id
1,3,2,FALSE,TRUE,FALSE,FALSE,1
2,1,2,FALSE,FALSE,TRUE,TRUE,2
3,3,3,FALSE,TRUE,FALSE,FALSE,3
4,2,2,TRUE,FALSE,TRUE,FALSE,4
1,3,1,TRUE,FALSE,FALSE,TRUE,5
2,2,1,FALSE,TRUE,TRUE,TRUE,6
3,1,2,FALSE,TRUE,TRUE,FALSE,7
4,2,2,TRUE,FALSE,TRUE,FALSE,8
4,3,1,FALSE,TRUE,FALSE,FALSE,9
3,2,1,FALSE,FALSE,TRUE,TRUE,10
2,1,1,FALSE,TRUE,FALSE,FALSE,11
3,2,2,TRUE,FALSE,TRUE,FALSE,12
4,3,2,TRUE,FALSE,FALSE,TRUE,13
2,4,2,FALSE,TRUE,TRUE,TRUE,14
1,3,3,FALSE,TRUE,TRUE,FALSE,15
2,2,1,TRUE,FALSE,TRUE,FALSE,16